Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1893086,000000A1,false,Rx,0,8,80,80,00,00,EC,00,00,00,
1893422,000005F0,false,Rx,0,2,01,00,00,00,00,00,00,00,
1894077,0000018F,false,Rx,0,8,FA,FF,00,00,00,00,00,00,
1895110,00000260,false,Rx,0,8,04,03,1A,00,00,AB,69,00,
1896114,000002A0,false,Rx,0,8,00,00,04,00,78,05,0D,01,
1897195,00000329,false,Rx,0,8,4F,7D,80,0E,11,31,00,14,
1898183,00000545,false,Rx,0,8,EC,00,00,12,00,00,00,00,
1901087,00000316,false,Rx,0,8,05,04,00,00,04,2F,00,80,
1902137,000000A0,false,Rx,0,8,00,55,00,00,00,FF,01,00,
1903109,000000A1,false,Rx,0,8,80,80,00,00,EC,00,00,00,
1904108,0000018F,false,Rx,0,8,FA,FF,00,00,00,00,00,00,
1905125,00000260,false,Rx,0,8,04,03,1A,00,00,AB,69,00,
1906109,000002A0,false,Rx,0,8,00,00,04,00,78,05,0D,01,
1907108,00000329,false,Rx,0,8,4F,7D,80,0E,11,37,00,14,
1908192,00000545,false,Rx,0,8,EC,00,00,12,00,00,00,00,
1911402,00000316,false,Rx,0,8,05,04,00,00,04,2F,00,80,
1912253,000000A0,false,Rx,0,8,00,55,00,00,00,FF,01,00,
1913128,000000A1,false,Rx,0,8,80,80,00,00,EC,00,00,00,
1914138,0000018F,false,Rx,0,8,FA,FF,00,00,00,00,00,00,
1915115,00000260,false,Rx,0,8,04,03,1A,00,00,AB,69,00,
1916119,000002A0,false,Rx,0,8,00,00,04,00,78,05,0D,01,
1917118,00000329,false,Rx,0,8,80,7D,80,0E,11,35,00,14,
1918121,00000545,false,Rx,0,8,EC,00,00,12,00,00,00,00,
1921254,00000316,false,Rx,0,8,05,04,00,00,04,2F,00,80,
1922206,000000A0,false,Rx,0,8,00,55,00,00,00,FF,01,00,
1923128,000000A1,false,Rx,0,8,80,80,00,00,EC,00,00,00,
1924113,0000018F,false,Rx,0,8,FA,FF,00,00,00,00,00,00,
1925108,00000260,false,Rx,0,8,04,03,1A,00,00,AB,69,00,
1926113,000002A0,false,Rx,0,8,00,00,04,00,78,05,0D,01,
1927361,00000329,false,Rx,0,8,80,7D,80,0E,11,34,00,14,
1928202,00000545,false,Rx,0,8,EC,00,00,12,00,00,00,00,
