$STARTTIME=45628.8611853472
Start time: 02/12/2024 20:40:06.414

C:\Users\norman\Documents\Business\AlphaX\CAN stuff\kona\turnonlog.csv

    Generated by PEAK-Converter Version 3.0.3.557
    Data imported from C:\Users\norman\Documents\Business\AlphaX\CAN stuff\kona\turnonlog.trc

-------------------------------------------------------------------------------
   Glossary:
     Rx: The frame was received
     Tx: The frame was transmitted
     DT: CAN or J1939 data frame
     FD: CAN FD data frame
     FB: CAN FD data frame with BRS bit set (Bit Rate Switch)
     FE: CAN FD data frame with ESI bit set (Error State Indicator)
     BI: CAN FD data frame with both BRS and ESI bits set
     RR: Remote Request Frame
     ST: Hardware Status change
     ER: Error Frame
     EV: Event. User-defined text, begins directly after 2-digit type indicator
     Reserved column: Destination address of a J1939 message, if any
-------------------------------------------------------------------------------

Number Time (ms) Bus Direction Type ID (hex) Reserved Length D0 D1 D2 D3 D4 D5 D6 D7 D... 
12822 6818.100 1 Rx DT 02B0 - 5 49 FF 00 07 5F
12823 6820.600 1 Rx DT 0260 - 8 03 09 07 30 00 80 5B 11
12824 6820.900 1 Rx DT 0329 - 8 84 81 7E 8C 12 2A 00 10
12825 6823.000 1 Rx DT 0356 - 7 00 00 00 00 18 00 00
12826 6823.300 1 Rx DT 0366 - 7 00 76 0E 00 00 00 00
12827 6823.500 1 Rx DT 0367 - 8 00 00 00 00 70 00 00 00
12828 6823.800 1 Rx DT 0368 - 8 A0 00 00 00 00 00 00 60
12829 6824.000 1 Rx DT 0453 - 5 00 80 80 00 00
12830 6824.300 1 Rx DT 0470 - 8 00 00 04 00 00 00 00 74
12831 6824.500 1 Rx DT 0586 - 3 00 00 00
12832 6824.700 1 Rx DT 0130 - 8 99 7F 6C 80 00 00 07 CE
12833 6824.900 1 Rx DT 0140 - 8 5A 81 00 64 20 00 06 0D
12834 6825.100 1 Rx DT 0162 - 3 EC CD 0E
12835 6825.500 1 Rx DT 0386 - 8 00 C0 00 80 00 40 00 80
12836 6825.800 1 Rx DT 0387 - 8 02 14 00 00 00 18 02 00
12837 6826.000 1 Rx DT 04F1 - 4 20 00 62 41
12838 6827.300 1 Rx DT 0153 - 8 20 80 10 FF 00 FF 00 AE
12839 6827.400 1 Rx DT 0164 - 4 00 08 06 0E
12840 6827.700 1 Rx DT 0220 - 8 F7 03 80 30 03 CE 8F 53
12841 6827.900 1 Rx DT 0251 - 8 E3 03 60 A6 00 EA F7 7F
12842 6828.100 1 Rx DT 02B0 - 5 4A FF 00 07 90
12843 6828.300 1 Rx DT 0381 - 8 80 58 3F 00 00 30 48 01
12844 6830.700 1 Rx DT 0260 - 8 03 09 06 30 00 80 5B 21
12845 6831.000 1 Rx DT 0329 - 8 E3 81 7E 8C 12 2A 00 10
12846 6832.700 1 Rx DT 0492 - 8 40 FE 8F 2E 00 00 00 80
12847 6833.000 1 Rx DT 0356 - 7 00 00 00 00 18 00 00
12848 6833.300 1 Rx DT 0366 - 7 00 78 0E 00 00 00 00
12849 6833.500 1 Rx DT 0367 - 8 00 00 00 00 70 00 00 00
12850 6833.800 1 Rx DT 0368 - 8 F0 00 00 00 00 00 00 60
12851 6834.600 1 Rx DT 0130 - 8 9B 7F 64 80 00 00 08 B8
12852 6834.800 1 Rx DT 0140 - 8 5F 81 00 65 20 00 07 B9
12853 6835.000 1 Rx DT 0162 - 3 EC D1 0E
12854 6836.000 1 Rx DT 050C - 8 10 48 00 E8 08 10 00 A8
12855 6837.300 1 Rx DT 0153 - 8 20 80 10 FF 00 FF 10 BE
12856 6837.500 1 Rx DT 0164 - 4 00 08 08 00
12857 6837.700 1 Rx DT 0220 - 8 F7 03 80 30 03 CC 8F 61
12858 6837.900 1 Rx DT 0251 - 8 E3 03 61 A7 00 EA F7 7F
12859 6838.100 1 Rx DT 02B0 - 5 48 FF 00 07 A1
12860 6839.800 1 Rx DT 0329 - 8 E3 81 7E 8C 12 2A 00 10
12861 6841.000 1 Rx DT 0260 - 8 03 09 06 30 00 7F 5B 32
12862 6843.000 1 Rx DT 0356 - 7 00 00 00 00 18 00 00
12863 6843.200 1 Rx DT 0366 - 7 00 74 0E 00 00 00 00
12864 6843.500 1 Rx DT 0367 - 8 00 00 00 00 70 00 00 00
12865 6843.700 1 Rx DT 0368 - 8 00 00 00 00 00 00 00 60
12866 6844.000 1 Rx DT 0453 - 5 00 80 80 00 00
12867 6844.200 1 Rx DT 0470 - 8 00 00 04 00 00 00 00 78
12868 6844.600 1 Rx DT 0130 - 8 9A 7F 55 80 00 00 09 BD
12869 6844.800 1 Rx DT 0140 - 8 59 81 00 64 20 00 08 4C
12870 6845.000 1 Rx DT 0162 - 3 EC CD 0E
12871 6845.500 1 Rx DT 0386 - 8 00 00 00 C0 00 40 00 80
12872 6845.800 1 Rx DT 0387 - 8 02 14 00 00 00 19 03 00
12873 6846.000 1 Rx DT 04F1 - 4 00 00 62 51
12874 6847.300 1 Rx DT 0153 - 8 20 80 10 FF 00 FF 20 CE
12875 6847.500 1 Rx DT 0164 - 4 00 08 0A 02
12876 6847.700 1 Rx DT 0220 - 8 F7 03 80 30 03 CD 8F 70
12877 6847.900 1 Rx DT 0251 - 8 E3 03 62 A8 00 EA F7 7F
12878 6848.100 1 Rx DT 02B0 - 5 48 FF 00 07 92
12879 6848.400 1 Rx DT 0381 - 8 80 50 3F 00 00 31 41 01
12880 6850.600 1 Rx DT 0260 - 8 03 09 06 30 00 7F 5B 05
12881 6850.900 1 Rx DT 0329 - 8 E3 81 7E 8C 12 2A 00 10
12882 6852.900 1 Rx DT 0356 - 7 00 00 00 00 18 00 00
12883 6853.200 1 Rx DT 0366 - 7 00 74 0E 00 00 00 00
12884 6853.400 1 Rx DT 0367 - 8 00 00 00 00 70 00 00 00
12885 6853.700 1 Rx DT 0368 - 8 50 00 00 00 00 00 00 60
12886 6853.900 1 Rx DT 0436 - 4 00 00 00 00
12887 6854.600 1 Rx DT 0130 - 8 9D 7F 67 80 00 00 0A EF
12888 6854.800 1 Rx DT 0140 - 8 4E 81 00 64 20 00 09 66
12889 6855.000 1 Rx DT 0162 - 3 EC CD 0E
12890 6857.300 1 Rx DT 0153 - 8 20 80 10 FF 00 FF 30 DE
12891 6857.500 1 Rx DT 0164 - 4 00 08 0C 04
12892 6857.700 1 Rx DT 0220 - 8 F7 03 80 30 03 CD 8F 80
12893 6857.900 1 Rx DT 0251 - 8 E3 03 63 A9 00 EA F7 7F
12894 6858.100 1 Rx DT 02B0 - 5 4A FF 00 07 A3
12895 6861.100 1 Rx DT 0260 - 8 03 09 06 30 00 7F 5D 12
12896 6861.300 1 Rx DT 0329 - 8 E3 81 7E 8C 12 2A 00 10
12897 6862.600 1 Rx DT 058B - 8 11 00 04 00 00 00 00 00
12898 6863.100 1 Rx DT 0356 - 7 00 00 00 00 18 00 00
12899 6863.300 1 Rx DT 0366 - 7 00 66 0E 00 00 00 00
12900 6863.600 1 Rx DT 0367 - 8 00 00 00 00 70 00 00 00
12901 6863.800 1 Rx DT 0368 - 8 A0 00 00 00 00 00 00 60
12902 6864.100 1 Rx DT 0453 - 5 00 80 80 00 00
12903 6864.300 1 Rx DT 0470 - 8 00 00 00 00 00 00 00 BC
12904 6864.600 1 Rx DT 0386 - 8 00 40 00 C0 00 40 00 80
12905 6864.800 1 Rx DT 0130 - 8 A6 7F 72 80 00 00 0B 20
12906 6865.000 1 Rx DT 0140 - 8 49 81 00 65 20 00 0A 52
12907 6865.200 1 Rx DT 0162 - 3 EC BD 0E
12908 6865.800 1 Rx DT 0387 - 8 02 14 00 00 00 1A 04 00
12909 6866.100 1 Rx DT 04F1 - 4 00 00 62 61
12910 6867.300 1 Rx DT 0153 - 8 20 80 10 FF 00 FF 40 EE
12911 6867.500 1 Rx DT 0164 - 4 00 08 0E 06
12912 6867.700 1 Rx DT 0220 - 8 F7 03 80 30 03 CE 8F 93
12913 6867.900 1 Rx DT 0251 - 8 E3 03 64 AA 00 EA F7 7F
12914 6868.100 1 Rx DT 02B0 - 5 49 FF 00 07 E4
12915 6868.400 1 Rx DT 0381 - 8 80 50 3F 00 00 32 42 01
12916 6870.800 1 Rx DT 0260 - 8 03 09 06 30 00 7F 5D 21
12917 6871.000 1 Rx DT 0329 - 8 E3 81 7E 8C 12 2A 00 10
12918 6873.000 1 Rx DT 0356 - 7 00 00 00 00 18 00 00
12919 6873.200 1 Rx DT 0366 - 7 00 64 0E 00 00 00 00
12920 6873.400 1 Rx DT 0367 - 8 00 00 00 00 70 00 00 00
12921 6873.700 1 Rx DT 0368 - 8 F0 00 00 00 00 00 00 60
12922 6874.600 1 Rx DT 0130 - 8 97 7F 63 80 00 00 0C 7C
12923 6874.800 1 Rx DT 0140 - 8 43 81 00 64 20 00 0B BA
12924 6875.000 1 Rx DT 0162 - 3 EC BD 0E
12925 6877.300 1 Rx DT 0153 - 8 20 80 10 FF 00 FF 50 FE
12926 6877.500 1 Rx DT 0164 - 4 00 08 10 18
12927 6877.700 1 Rx DT 0220 - 8 F7 03 80 2C 03 D3 8F A2
12928 6877.900 1 Rx DT 0251 - 8 E3 03 65 AB 00 EA F7 7F
12929 6878.100 1 Rx DT 02B0 - 5 4A FF 00 07 C5
12930 6880.700 1 Rx DT 0260 - 8 03 09 07 30 00 7F 5D 3F
12931 6881.000 1 Rx DT 0329 - 8 E3 81 7E 8C 12 2A 00 10
12932 6883.000 1 Rx DT 0356 - 7 00 00 00 00 18 00 00
12933 6883.300 1 Rx DT 0366 - 7 00 64 0E 00 00 00 00
12934 6883.600 1 Rx DT 0367 - 8 00 00 00 00 70 00 00 00
12935 6883.800 1 Rx DT 0368 - 8 00 00 00 00 00 00 00 60
12936 6884.000 1 Rx DT 0453 - 5 00 80 80 00 00
12937 6884.300 1 Rx DT 0470 - 8 00 00 04 00 00 00 00 00
12938 6884.500 1 Rx DT 0492 - 8 40 FE 8F 2E 00 00 00 44
12939 6884.800 1 Rx DT 0130 - 8 93 7F 67 80 00 00 0D BD
12940 6885.000 1 Rx DT 0140 - 8 3F 81 00 65 20 00 0C C7
12941 6885.200 1 Rx DT 0162 - 3 EC BD 0E
12942 6885.300 1 Rx DT 0500 - 1 31
12943 6885.600 1 Rx DT 0386 - 8 00 80 00 C0 00 40 00 80
12944 6885.800 1 Rx DT 0387 - 8 02 14 00 00 00 1B 05 00
12945 6886.100 1 Rx DT 04F1 - 4 20 00 62 71
12946 6887.300 1 Rx DT 0153 - 8 20 80 10 FF 00 FF 60 0E
12947 6887.500 1 Rx DT 0164 - 4 00 08 12 1A
12948 6887.700 1 Rx DT 0220 - 8 F7 03 80 2C 03 CB 8F BA
12949 6887.900 1 Rx DT 0251 - 8 E3 03 66 AC 00 EA F7 7F
12950 6888.100 1 Rx DT 02B0 - 5 48 FF 00 07 D6
12951 6888.300 1 Rx DT 0381 - 8 80 58 3F 00 00 33 4B 01
12952 6888.500 1 Rx DT 0507 - 4 00 00 00 00
12953 6891.600 1 Rx DT 0260 - 8 03 0A 06 30 00 7F 61 0D
12954 6891.800 1 Rx DT 0329 - 8 0F 81 7E 8C 12 2A 00 10
12955 6892.900 1 Rx DT 0356 - 7 00 00 00 00 18 00 00
12956 6893.200 1 Rx DT 0366 - 7 00 64 0E 00 00 00 00
12957 6893.500 1 Rx DT 0367 - 8 00 00 00 00 70 00 00 00
12958 6893.700 1 Rx DT 0368 - 8 50 00 00 00 00 00 00 60
12959 6894.600 1 Rx DT 0130 - 8 90 7F 76 80 00 00 0E F9
12960 6894.900 1 Rx DT 0140 - 8 42 81 00 65 20 00 0D 34
12961 6895.000 1 Rx DT 0162 - 3 EC BD 0E
12962 6897.300 1 Rx DT 0153 - 8 20 80 10 FF 00 FF 70 1E
12963 6897.500 1 Rx DT 0164 - 4 00 08 14 1C
12964 6897.700 1 Rx DT 0220 - 8 F7 03 80 2C 03 C9 8F C8
12965 6897.900 1 Rx DT 0251 - 8 E3 03 67 AE 00 EB F7 7F
12966 6898.100 1 Rx DT 02B0 - 5 49 FF 00 07 D7
12967 6901.100 1 Rx DT 0260 - 8 03 0A 06 30 00 7F 61 1C
12968 6901.300 1 Rx DT 0329 - 8 0F 81 7E 8C 12 2A 00 10
12969 6903.100 1 Rx DT 007F - 8 00 00 00 00 00 00 00 00
12970 6903.300 1 Rx DT 0356 - 7 00 00 00 00 18 00 00
12971 6903.500 1 Rx DT 0366 - 7 00 56 0E 00 00 00 00
12972 6903.800 1 Rx DT 0367 - 8 00 00 00 00 70 00 00 00
12973 6904.100 1 Rx DT 0368 - 8 A0 00 00 00 00 00 00 60
12974 6904.300 1 Rx DT 0410 - 8 90 12 60 00 80 03 00 00
12975 6904.500 1 Rx DT 0436 - 4 00 00 00 00
12976 6904.800 1 Rx DT 0130 - 8 99 7F 69 80 00 00 0F F9
12977 6905.000 1 Rx DT 0140 - 8 46 81 00 64 20 00 0E E7
12978 6905.200 1 Rx DT 0453 - 5 00 80 80 00 00
12979 6905.300 1 Rx DT 0162 - 3 EC AD 0E
12980 6905.600 1 Rx DT 0386 - 8 00 C0 00 C0 00 40 00 80
12981 6905.800 1 Rx DT 0387 - 8 02 14 00 00 00 1C 06 00
12982 6906.100 1 Rx DT 0470 - 8 00 00 00 00 00 00 00 04
12983 6906.300 1 Rx DT 04F1 - 4 20 00 62 81
12984 6906.500 1 Rx DT 050E - 8 00 00 00 00 00 00 00 00
12985 6906.800 1 Rx DT 052A - 8 00 02 00 80 04 00 00 00
12986 6907.000 1 Rx DT 0520 - 8 00 00 00 00 00 00 00 00
12987 6907.300 1 Rx DT 0153 - 8 20 80 10 FF 00 FF 80 2E
12988 6907.400 1 Rx DT 0164 - 4 00 08 16 1E
12989 6907.700 1 Rx DT 0220 - 8 F7 03 80 2C 03 C8 8F D9
12990 6907.900 1 Rx DT 0251 - 8 E3 03 68 AE 00 EA F7 7F
12991 6908.100 1 Rx DT 02B0 - 5 4A FF 00 07 18
12992 6908.300 1 Rx DT 0381 - 8 80 50 3F 00 00 34 44 01
12993 6908.600 1 Rx DT 0541 - 8 03 41 01 80 C0 01 00 1C
12994 6908.900 1 Rx DT 0553 - 8 00 01 91 06 01 00 80 00
12995 6909.100 1 Rx DT 0559 - 8 00 00 00 00 00 40 00 00
12996 6909.400 1 Rx DT 0568 - 8 00 00 00 00 00 00 40 00
12997 6909.600 1 Rx DT 0572 - 8 00 00 00 00 00 00 00 00
12998 6910.700 1 Rx DT 0260 - 8 03 0A 06 30 00 7F 61 2B
12999 6911.000 1 Rx DT 0329 - 8 0F 81 7E 8C 12 2A 00 10
13000 6912.700 1 Rx DT 058B - 8 11 00 04 00 00 00 00 00
13001 6913.000 1 Rx DT 0356 - 7 00 00 00 00 18 00 00
13002 6913.200 1 Rx DT 0366 - 7 00 56 0E 00 00 00 00
13003 6913.500 1 Rx DT 0367 - 8 00 00 00 00 70 00 00 00
13004 6913.800 1 Rx DT 0368 - 8 F0 00 00 00 00 00 00 60
13005 6914.600 1 Rx DT 0495 - 8 00 00 05 1A 80 05 00 00
13006 6914.800 1 Rx DT 0130 - 8 96 7F 62 80 00 00 00 D7
13007 6915.000 1 Rx DT 0140 - 8 48 81 00 65 20 00 0F 66
13008 6915.200 1 Rx DT 0162 - 3 EC AD 0E
13009 6917.300 1 Rx DT 0153 - 8 20 80 10 FF 00 FF 90 3E
13010 6917.500 1 Rx DT 0164 - 4 00 08 18 10
13011 6917.700 1 Rx DT 0220 - 8 F7 03 80 2C 03 CC 8F ED
13012 6917.900 1 Rx DT 0251 - 8 E3 03 69 AF 00 EA F7 7F
13013 6918.100 1 Rx DT 02B0 - 5 48 FF 00 07 29
13014 6921.800 1 Rx DT 0260 - 8 03 0A 06 30 00 7F 61 3A
13015 6922.100 1 Rx DT 0329 - 8 0F 81 7E 8C 12 2A 00 10
13016 6923.000 1 Rx DT 0356 - 7 00 00 00 00 18 00 00
13017 6923.200 1 Rx DT 0366 - 7 00 56 0E 00 00 00 00
13018 6923.500 1 Rx DT 0367 - 8 00 00 00 00 70 00 00 00
13019 6923.800 1 Rx DT 0368 - 8 00 00 00 00 00 00 00 60
13020 6924.000 1 Rx DT 0453 - 5 00 80 80 00 00
13021 6924.200 1 Rx DT 0470 - 8 00 00 04 00 00 00 00 08
13022 6924.400 1 Rx DT 0586 - 3 00 00 00
13023 6924.600 1 Rx DT 0130 - 8 9B 7F 72 80 00 00 01 C2
13024 6924.900 1 Rx DT 0140 - 8 4A 81 00 65 20 00 00 67
13025 6925.100 1 Rx DT 0162 - 3 EC AD 0E
13026 6925.500 1 Rx DT 0386 - 8 00 00 00 00 00 40 00 80
13027 6925.800 1 Rx DT 0387 - 8 02 14 00 00 00 1D 07 00
13028 6926.200 1 Rx DT 04F1 - 4 00 00 62 91
13029 6927.300 1 Rx DT 0153 - 8 20 80 10 FF 00 FF A0 4E
13030 6927.500 1 Rx DT 0164 - 4 00 08 1A 12
13031 6927.700 1 Rx DT 0220 - 8 F7 03 80 2C 03 CB 8F FA
13032 6927.900 1 Rx DT 0251 - 8 E3 03 6A B0 00 EA F7 7F
13033 6928.100 1 Rx DT 02B0 - 5 4A FF 00 07 3A
13034 6928.400 1 Rx DT 0381 - 8 80 50 3F 00 00 35 45 01
13035 6930.700 1 Rx DT 0260 - 8 03 0A 06 30 00 7F 5B 04
13036 6930.900 1 Rx DT 0329 - 8 0F 81 7E 8C 12 2A 00 10
13037 6932.900 1 Rx DT 0492 - 8 40 FE 8F 2E 00 00 00 08
13038 6933.100 1 Rx DT 0356 - 7 00 00 00 00 18 00 00
13039 6933.400 1 Rx DT 0366 - 7 00 5A 0E 00 00 00 00
13040 6933.600 1 Rx DT 0367 - 8 00 00 00 00 70 00 00 00
13041 6933.900 1 Rx DT 0368 - 8 50 00 00 00 00 00 00 60
13042 6934.600 1 Rx DT 0130 - 8 9C 7F 6C 80 00 00 02 93
13043 6934.800 1 Rx DT 0140 - 8 56 81 00 64 20 00 01 E5
13044 6935.000 1 Rx DT 0162 - 3 EC B1 0E
13045 6936.300 1 Rx DT 050C - 8 10 48 00 E8 08 10 00 B8
13046 6937.300 1 Rx DT 0153 - 8 20 80 10 FF 00 FF B0 5E
13047 6937.500 1 Rx DT 0164 - 4 00 08 1C 14
13048 6937.700 1 Rx DT 0220 - 8 F7 03 80 2C 03 CD 8F 0C
13049 6938.000 1 Rx DT 0251 - 8 E3 03 6B B1 00 EA F7 7F
13050 6938.100 1 Rx DT 02B0 - 5 4A FF 00 07 2B
13051 6940.600 1 Rx DT 0260 - 8 03 0A 06 30 00 80 5B 11
13052 6940.900 1 Rx DT 0329 - 8 0F 81 7E 8C 12 2A 00 10
13053 6943.000 1 Rx DT 0356 - 7 00 00 00 00 18 00 00
13054 6943.300 1 Rx DT 0366 - 7 00 60 0E 00 00 00 00
13055 6943.500 1 Rx DT 0367 - 8 00 00 00 00 70 00 00 00
13056 6943.800 1 Rx DT 0368 - 8 A0 00 00 00 00 00 00 60
13057 6944.000 1 Rx DT 0453 - 5 00 80 80 00 00
13058 6944.300 1 Rx DT 0470 - 8 00 00 04 00 00 00 00 4C
13059 6944.600 1 Rx DT 0130 - 8 9B 7F 62 80 00 00 03 16
13060 6944.800 1 Rx DT 0140 - 8 50 81 00 65 20 00 02 8C
13061 6945.000 1 Rx DT 0162 - 3 EC B9 0E
13062 6945.500 1 Rx DT 0386 - 8 00 40 00 00 00 40 00 80
13063 6945.800 1 Rx DT 0387 - 8 02 14 00 00 00 1E 08 00
13064 6946.300 1 Rx DT 04F1 - 4 00 00 62 A1
13065 6947.300 1 Rx DT 0153 - 8 20 80 10 FF 00 FF C0 6E
13066 6947.500 1 Rx DT 0164 - 4 00 08 00 08
13067 6947.700 1 Rx DT 0220 - 8 F7 03 80 2C 03 CE 8F 1F
13068 6947.900 1 Rx DT 0251 - 8 E3 03 6C B2 00 EA F7 7F
13069 6948.100 1 Rx DT 02B0 - 5 48 FF 00 07 7C
13070 6948.400 1 Rx DT 0381 - 8 80 50 3F 00 00 36 46 01
13071 6950.700 1 Rx DT 0260 - 8 03 0A 06 30 00 80 5B 20
13072 6951.000 1 Rx DT 0329 - 8 4B 81 7E 8C 12 2A 00 10
13073 6953.000 1 Rx DT 0356 - 7 00 00 00 00 18 00 00
13074 6953.300 1 Rx DT 0366 - 7 00 60 0E 00 00 00 00
13075 6953.500 1 Rx DT 0367 - 8 00 00 00 00 70 00 00 00
13076 6953.800 1 Rx DT 0368 - 8 F0 00 00 00 00 00 00 60
13077 6954.000 1 Rx DT 0436 - 4 00 00 00 00
13078 6954.600 1 Rx DT 0130 - 8 97 7F 6E 80 00 00 04 3C
13079 6954.800 1 Rx DT 0140 - 8 4C 81 00 64 20 00 03 0E
13080 6955.000 1 Rx DT 0162 - 3 EC B9 0E
13081 6957.300 1 Rx DT 0153 - 8 20 80 10 FF 00 FF D0 7E
13082 6957.500 1 Rx DT 0164 - 4 00 08 02 0A
13083 6957.700 1 Rx DT 0220 - 8 F7 03 80 2C 03 CD 8F 2C
13084 6957.900 1 Rx DT 0251 - 8 E3 03 6D C5 00 EB 07 80
13085 6958.100 1 Rx DT 02B0 - 5 48 FF 00 07 6D
13086 6960.900 1 Rx DT 0260 - 8 03 09 06 30 00 80 59 32
13087 6961.200 1 Rx DT 0329 - 8 4B 81 7E 8C 12 2A 00 10
13088 6962.700 1 Rx DT 058B - 8 11 00 04 00 00 00 00 00
13089 6963.000 1 Rx DT 0356 - 7 00 00 00 00 18 00 00
13090 6963.300 1 Rx DT 0366 - 7 00 6C 0E 00 00 00 00
13091 6963.600 1 Rx DT 0367 - 8 00 00 00 00 70 00 00 00
13092 6963.900 1 Rx DT 0368 - 8 00 00 00 00 00 00 00 60
13093 6964.000 1 Rx DT 0453 - 5 00 80 80 00 00
13094 6964.300 1 Rx DT 0470 - 8 00 00 00 00 00 00 00 10
13095 6964.600 1 Rx DT 0386 - 8 00 80 00 00 00 40 00 80
13096 6964.900 1 Rx DT 0130 - 8 9E 7F 6B 80 00 00 05 71
13097 6965.300 1 Rx DT 0162 - 3 EC C5 0E
13098 6965.500 1 Rx DT 0140 - 8 50 81 00 65 20 00 04 C2
13099 6965.800 1 Rx DT 0387 - 8 02 14 00 00 00 1F 09 00
13100 6966.300 1 Rx DT 04F1 - 4 20 00 62 B1
13101 6967.300 1 Rx DT 0153 - 8 20 80 10 FF 00 FF E0 8E
13102 6967.500 1 Rx DT 0164 - 4 00 08 04 0C
13103 6967.700 1 Rx DT 0220 - 8 F7 03 80 2C 03 CB 8F 3A
13104 6967.900 1 Rx DT 0251 - 8 E3 03 6E B4 00 EA F7 7F
13105 6968.100 1 Rx DT 02B0 - 5 49 FF 00 07 4E
13106 6968.400 1 Rx DT 0381 - 8 80 50 3F 00 00 37 47 01
13107 6970.600 1 Rx DT 0260 - 8 03 09 06 30 00 80 59 05
13108 6970.900 1 Rx DT 0329 - 8 4B 81 7E 8C 12 2A 00 10
13109 6972.900 1 Rx DT 0356 - 7 00 00 00 00 18 00 00
13110 6973.200 1 Rx DT 0366 - 7 00 6C 0E 00 00 00 00
13111 6973.500 1 Rx DT 0367 - 8 00 00 00 00 70 00 00 00
13112 6973.700 1 Rx DT 0368 - 8 50 00 00 00 00 00 00 60
13113 6974.600 1 Rx DT 0130 - 8 A0 7F 5F 80 00 00 06 1B
13114 6974.900 1 Rx DT 0140 - 8 4C 81 00 65 20 00 05 DD
13115 6975.000 1 Rx DT 0162 - 3 EC C5 0E
13116 6977.300 1 Rx DT 0153 - 8 20 80 10 FF 00 FF 00 AE
13117 6977.500 1 Rx DT 0164 - 4 00 08 06 0E
13118 6977.700 1 Rx DT 0220 - 8 F7 03 80 2C 03 CF 8F 4E
13119 6977.900 1 Rx DT 0251 - 8 E3 03 6F B5 00 EA F7 7F
13120 6978.100 1 Rx DT 02B0 - 5 4A FF 00 07 6F
13121 6980.600 1 Rx DT 0260 - 8 03 09 06 30 00 80 59 14
13122 6980.900 1 Rx DT 0329 - 8 4B 81 7E 8C 12 2A 00 10
13123 6983.000 1 Rx DT 0356 - 7 00 00 00 00 18 00 00
13124 6983.300 1 Rx DT 0366 - 7 00 6C 0E 00 00 00 00
13125 6983.600 1 Rx DT 0367 - 8 00 00 00 00 70 00 00 00
13126 6983.800 1 Rx DT 0368 - 8 A0 00 00 00 00 00 00 60
13127 6984.000 1 Rx DT 0453 - 5 00 80 80 00 00
13128 6984.200 1 Rx DT 0470 - 8 00 00 04 00 00 00 00 14
13129 6984.500 1 Rx DT 0492 - 8 40 FE 8F 2E 00 00 00 CC
13130 6984.800 1 Rx DT 0130 - 8 9F 7F 72 80 00 00 07 E5
13131 6985.000 1 Rx DT 0140 - 8 48 81 00 65 20 00 06 93
13132 6985.100 1 Rx DT 0162 - 3 EC C5 0E
13133 6985.300 1 Rx DT 0500 - 1 31
13134 6985.600 1 Rx DT 0386 - 8 00 C0 00 00 00 40 00 80
13135 6985.900 1 Rx DT 0387 - 8 02 14 00 00 00 20 0A 00
13136 6986.400 1 Rx DT 04F1 - 4 00 00 62 C1
13137 6987.300 1 Rx DT 0153 - 8 20 80 10 FF 00 FF 10 BE
13138 6987.400 1 Rx DT 0164 - 4 00 08 08 00
13139 6987.700 1 Rx DT 0220 - 8 F7 03 80 2C 03 D0 8F 51
13140 6988.000 1 Rx DT 0251 - 8 E3 03 70 C8 00 EB 07 80
13141 6988.100 1 Rx DT 02B0 - 5 48 FF 00 07 B0
13142 6988.300 1 Rx DT 0381 - 8 80 58 3F 00 00 38 50 01
13143 6988.600 1 Rx DT 0507 - 4 00 00 00 00
13144 6991.300 1 Rx DT 0260 - 8 03 09 06 30 00 80 59 23
13145 6991.500 1 Rx DT 0329 - 8 4B 81 7E 8C 12 2A 00 10
13146 6993.000 1 Rx DT 0356 - 7 00 00 00 00 18 00 00
13147 6993.200 1 Rx DT 0366 - 7 00 68 0E 00 00 00 00
13148 6993.500 1 Rx DT 0367 - 8 00 00 00 00 70 00 00 00
13149 6993.800 1 Rx DT 0368 - 8 F0 00 00 00 00 00 00 60
13150 6994.600 1 Rx DT 0130 - 8 97 7F 77 80 00 00 08 53
13151 6994.900 1 Rx DT 0140 - 8 4C 81 00 65 20 00 07 E7
13152 6995.000 1 Rx DT 0162 - 3 EC C1 0E
13153 6997.300 1 Rx DT 0153 - 8 20 80 10 FF 00 FF 20 CE
13154 6997.500 1 Rx DT 0164 - 4 00 08 0A 02
13155 6997.700 1 Rx DT 0220 - 8 F7 03 80 2C 03 CF 8F 6E
13156 6997.900 1 Rx DT 0251 - 8 E3 03 71 B7 00 EA F7 7F
13157 6998.100 1 Rx DT 02B0 - 5 48 FF 00 07 A1
13158 7001.100 1 Rx DT 0260 - 8 03 09 06 30 00 80 59 32
13159 7001.400 1 Rx DT 0329 - 8 4B 81 7E 8C 12 2A 00 10
13160 7001.600 1 Rx DT 0593 - 6 00 00 FF FF FF FF
13161 7003.000 1 Rx DT 0356 - 7 00 00 00 00 18 00 00
13162 7003.300 1 Rx DT 0366 - 7 00 68 0E 00 00 00 00
13163 7003.500 1 Rx DT 0367 - 8 00 00 00 00 70 00 00 00
13164 7003.800 1 Rx DT 0368 - 8 00 00 00 00 00 00 00 60
13165 7004.000 1 Rx DT 0436 - 4 00 00 00 00
13166 7004.200 1 Rx DT 0453 - 5 00 80 80 00 00
13167 7004.500 1 Rx DT 0470 - 8 00 00 00 00 00 00 00 18
13168 7004.700 1 Rx DT 0130 - 8 9B 7F 65 80 00 00 09 CF
13169 7004.900 1 Rx DT 0140 - 8 4A 81 00 65 20 00 08 8F
13170 7005.200 1 Rx DT 0520 - 8 00 00 00 00 00 00 00 00
13171 7005.400 1 Rx DT 0162 - 3 EC C1 0E
13172 7005.700 1 Rx DT 0386 - 8 00 00 00 40 00 40 00 80
