Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
3368300,00000514,false,Rx,0,8,00,08,78,00,0C,2B,4B,80,
3388300,00000514,false,Rx,0,8,00,08,78,00,0C,2B,4D,80,
3408300,00000514,false,Rx,0,8,00,08,78,00,0C,2B,4F,80,
3428300,00000514,false,Rx,0,8,00,08,78,00,0C,2B,41,80,
3448300,00000514,false,Rx,0,8,00,08,78,00,0C,2B,43,80,
3468400,00000514,false,Rx,0,8,00,08,78,00,0C,2B,45,80,
3488400,00000514,false,Rx,0,8,00,08,78,00,0C,2B,47,80,
3508400,00000514,false,Rx,0,8,00,08,78,00,0C,2B,49,80,
3528300,00000514,false,Rx,0,8,00,08,78,00,0C,2B,4B,80,
3548400,00000514,false,Rx,0,8,00,08,78,00,0C,2B,4D,80,
3568400,00000514,false,Rx,0,8,00,08,78,00,0C,2B,4F,80,
3588400,00000514,false,Rx,0,8,00,08,78,00,0C,2B,41,80,
3608400,00000514,false,Rx,0,8,00,08,78,00,0C,2B,43,80,
3628400,00000514,false,Rx,0,8,00,08,78,00,CC,2A,45,80,
3648400,00000514,false,Rx,0,8,00,08,78,00,CC,2A,47,80,
3668400,00000514,false,Rx,0,8,00,08,78,00,CC,2A,49,80,
3688400,00000514,false,Rx,0,8,00,08,78,00,CC,2A,4B,80,
3708400,00000514,false,Rx,0,8,00,08,78,00,0C,2B,4D,80,
3728400,00000514,false,Rx,0,8,00,08,78,00,0C,2B,4F,80,
3748400,00000514,false,Rx,0,8,00,08,78,00,4C,2B,41,80,
3768400,00000514,false,Rx,0,8,00,08,78,00,4C,2B,43,80,
3788400,00000514,false,Rx,0,8,00,08,78,00,0C,2B,45,80,
3808400,00000514,false,Rx,0,8,00,08,78,00,0C,2B,47,80,
3828400,00000514,false,Rx,0,8,00,08,78,00,0C,2B,49,80,
3848400,00000514,false,Rx,0,8,00,08,78,00,0C,2B,4B,80,
3868400,00000514,false,Rx,0,8,00,08,78,00,0C,2B,4D,80,
3888400,00000514,false,Rx,0,8,00,08,78,00,0C,2B,4F,80,
3908400,00000514,false,Rx,0,8,00,08,78,00,0C,2B,41,80,
