Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
295500,00000411,false,Rx,0,8,01,FF,7F,00,01,00,00,3D,
295800,00000412,false,Rx,0,8,00,54,01,54,01,10,01,00,
296000,00000600,false,Rx,0,8,00,E5,01,4C,CF,2A,38,00,
296300,00000601,false,Rx,0,8,00,D4,00,36,00,64,00,00,
305300,00000410,false,Rx,0,8,11,00,22,0C,00,F5,05,C1,
305500,00000411,false,Rx,0,8,01,FF,7F,00,01,00,00,3D,
305800,00000412,false,Rx,0,8,00,54,01,54,01,10,01,00,
306000,00000601,false,Rx,0,8,00,D4,00,36,00,64,00,00,
315300,00000410,false,Rx,0,8,11,00,22,0C,00,F5,05,C1,
315500,00000411,false,Rx,0,8,01,FF,7F,00,01,00,00,3D,
315800,00000412,false,Rx,0,8,00,53,01,53,01,10,01,00,
316000,00000601,false,Rx,0,8,00,D4,00,36,00,64,00,00,
325300,00000410,false,Rx,0,8,11,00,22,0C,00,01,06,C1,
325500,00000411,false,Rx,0,8,01,FF,7F,00,01,00,00,3D,
325700,00000412,false,Rx,0,8,00,53,01,53,01,10,01,00,
326000,00000601,false,Rx,0,8,00,D4,00,36,00,64,00,00,
335300,00000410,false,Rx,0,8,11,00,22,0C,00,01,06,C1,
335500,00000411,false,Rx,0,8,01,FF,7F,00,01,00,00,3D,
335800,00000412,false,Rx,0,8,00,54,01,54,01,10,01,00,
336000,00000601,false,Rx,0,8,00,D4,00,36,00,64,00,00,
345300,00000410,false,Rx,0,8,11,00,22,0C,00,F6,05,C1,
345500,00000411,false,Rx,0,8,01,FF,7F,00,01,00,00,3D,
345800,00000412,false,Rx,0,8,00,54,01,54,01,10,01,00,
346000,00000600,false,Rx,0,8,00,E2,01,4C,D0,2A,38,00,
346300,00000601,false,Rx,0,8,00,D4,00,35,00,64,00,00,
355300,00000410,false,Rx,0,8,11,00,21,0C,00,F6,05,C1,
355500,00000411,false,Rx,0,8,01,FF,7F,00,01,00,00,3D,
355700,00000412,false,Rx,0,8,00,52,01,52,01,10,01,00,
356000,00000601,false,Rx,0,8,00,D4,00,35,00,64,00,00,
365300,00000410,false,Rx,0,8,11,00,21,0C,00,FC,05,C1,
365500,00000411,false,Rx,0,8,01,FF,7F,00,01,00,00,3D,
365800,00000412,false,Rx,0,8,00,52,01,52,01,10,01,00,
366000,00000601,false,Rx,0,8,00,D4,00,35,00,64,00,00,
375300,00000410,false,Rx,0,8,11,00,21,0C,00,FC,05,C1,
375500,00000411,false,Rx,0,8,01,FF,BF,00,01,00,00,3D,
375800,00000412,false,Rx,0,8,00,52,01,52,01,10,01,00,
376000,00000601,false,Rx,0,8,00,D4,00,35,00,64,00,00,
385300,00000410,false,Rx,0,8,11,00,21,0C,00,F2,05,C1,
385500,00000411,false,Rx,0,8,01,FF,BF,00,01,00,00,3D,
385700,00000412,false,Rx,0,8,00,52,01,52,01,10,01,00,
386000,00000601,false,Rx,0,8,00,D4,00,35,00,64,00,00,
395300,00000410,false,Rx,0,8,11,00,21,0C,00,F2,05,C1,
395500,00000411,false,Rx,0,8,01,FF,BF,00,01,00,00,3D,
395800,00000412,false,Rx,0,8,00,51,01,51,01,10,01,00,
396000,00000600,false,Rx,0,8,00,DE,01,4C,D1,2A,38,00,
396200,00000601,false,Rx,0,8,00,D4,00,35,00,64,00,00,
405300,00000410,false,Rx,0,8,11,00,21,0C,00,FF,05,C1,
405500,00000411,false,Rx,0,8,01,FF,BF,00,01,00,00,3D,
405700,00000412,false,Rx,0,8,00,52,01,52,01,10,01,00,
406000,00000601,false,Rx,0,8,00,D4,00,35,00,64,00,00,
415300,00000410,false,Rx,0,8,11,00,21,0C,00,FF,05,C1,
415500,00000411,false,Rx,0,8,01,FF,BF,00,01,00,00,3D,
415800,00000412,false,Rx,0,8,00,52,01,52,01,10,01,00,
416000,00000601,false,Rx,0,8,00,D4,00,35,00,64,00,00,
425400,00000410,false,Rx,0,8,11,00,21,0C,00,F9,05,C1,
425600,00000411,false,Rx,0,8,01,FF,BF,00,01,00,00,3D,
425800,00000412,false,Rx,0,8,00,52,01,52,01,10,01,00,
426100,00000601,false,Rx,0,8,00,D4,00,36,00,64,00,00,
435300,00000410,false,Rx,0,8,11,00,21,0C,00,F9,05,C1,
435600,00000411,false,Rx,0,8,01,FF,BF,00,01,00,00,3D,
435800,00000412,false,Rx,0,8,00,52,01,52,01,10,01,00,
436100,00000601,false,Rx,0,8,00,D4,00,36,00,64,00,00,
445300,00000410,false,Rx,0,8,11,00,21,0C,00,01,06,C1,
445500,00000411,false,Rx,0,8,01,FF,BF,00,01,00,00,3D,
445800,00000412,false,Rx,0,8,00,52,01,52,01,10,01,00,
446000,00000600,false,Rx,0,8,00,E2,01,4C,D2,2A,38,00,
446200,00000601,false,Rx,0,8,00,D4,00,36,00,64,00,00,
455300,00000410,false,Rx,0,8,11,00,21,0C,00,01,06,C1,
455500,00000411,false,Rx,0,8,01,FF,BF,00,01,00,00,3D,
455700,00000412,false,Rx,0,8,00,52,01,52,01,10,01,00,
456000,00000601,false,Rx,0,8,00,D4,00,36,00,64,00,00,
465300,00000410,false,Rx,0,8,11,00,21,0C,00,F8,05,C1,
465500,00000411,false,Rx,0,8,01,FF,BF,00,01,00,00,3D,
465700,00000412,false,Rx,0,8,00,52,01,52,01,10,01,00,
466000,00000601,false,Rx,0,8,00,D4,00,36,00,64,00,00,
475200,00000410,false,Rx,0,8,11,00,21,0C,00,F8,05,C1,
475500,00000411,false,Rx,0,8,01,FF,BF,00,01,00,00,3D,
475800,00000412,false,Rx,0,8,00,50,01,50,01,10,01,00,
476000,00000601,false,Rx,0,8,00,D4,00,36,00,64,00,00,
485300,00000410,false,Rx,0,8,11,00,21,0C,00,05,06,C1,
485500,00000411,false,Rx,0,8,01,FF,BF,00,01,00,00,3D,
485700,00000412,false,Rx,0,8,00,50,01,50,01,10,01,00,
486000,00000601,false,Rx,0,8,00,D4,00,36,00,64,00,00,
495300,00000410,false,Rx,0,8,11,00,21,0C,00,05,06,C1,
495500,00000411,false,Rx,0,8,01,FF,FF,00,01,00,00,3D,
495800,00000412,false,Rx,0,8,00,50,01,50,01,10,01,00,
496000,00000600,false,Rx,0,8,00,E0,01,4C,D3,2A,38,00,
496200,00000601,false,Rx,0,8,00,D4,00,36,00,64,00,00,
505200,00000410,false,Rx,0,8,11,00,21,0C,00,FE,05,C1,
505500,00000411,false,Rx,0,8,01,FF,FF,00,01,00,00,3D,
505800,00000412,false,Rx,0,8,00,50,01,50,01,10,01,00,
506000,00000601,false,Rx,0,8,00,D4,00,35,00,64,00,00,
515299,00000410,false,Rx,0,8,11,00,21,0C,00,FE,05,C1,
515500,00000411,false,Rx,0,8,01,FF,FF,00,01,00,00,3D,
515700,00000412,false,Rx,0,8,00,4F,01,4F,01,10,01,00,
516000,00000601,false,Rx,0,8,00,D4,00,35,00,64,00,00,
525300,00000410,false,Rx,0,8,11,00,21,0C,00,01,06,C1,
525500,00000411,false,Rx,0,8,01,FF,FF,00,01,00,00,3D,
525800,00000412,false,Rx,0,8,00,4F,01,4F,01,10,01,00,
526000,00000601,false,Rx,0,8,00,D4,00,35,00,64,00,00,
535300,00000410,false,Rx,0,8,11,00,21,0C,00,01,06,C1,
535500,00000411,false,Rx,0,8,01,FF,FF,00,01,00,00,3D,
535700,00000412,false,Rx,0,8,00,4F,01,4F,01,10,01,00,
536000,00000601,false,Rx,0,8,00,D4,00,35,00,64,00,00,
545300,00000410,false,Rx,0,8,11,00,21,0C,00,F0,05,C1,
545500,00000411,false,Rx,0,8,01,FF,FF,00,01,00,00,3D,
545700,00000412,false,Rx,0,8,00,4F,01,4F,01,10,01,00,
546000,00000600,false,Rx,0,8,00,D8,01,4C,D4,2A,38,00,
546200,00000601,false,Rx,0,8,00,D4,00,35,00,64,00,00,
555200,00000410,false,Rx,0,8,11,00,21,0C,00,F0,05,C1,
555500,00000411,false,Rx,0,8,01,FF,FF,00,01,00,00,3D,
555800,00000412,false,Rx,0,8,00,4D,01,4D,01,10,01,00,
556000,00000601,false,Rx,0,8,00,D4,00,35,00,64,00,00,
565300,00000410,false,Rx,0,8,11,00,21,0C,00,F7,05,C1,
565500,00000411,false,Rx,0,8,01,FF,FF,00,01,00,00,3D,
565700,00000412,false,Rx,0,8,00,4E,01,4E,01,10,01,00,
566000,00000601,false,Rx,0,8,00,D4,00,35,00,64,00,00,
575300,00000410,false,Rx,0,8,11,00,21,0C,00,F7,05,C1,
575500,00000411,false,Rx,0,8,01,FF,FF,00,01,00,00,3D,
575700,00000412,false,Rx,0,8,00,4E,01,4E,01,10,01,00,
576000,00000601,false,Rx,0,8,00,D4,00,35,00,64,00,00,
585200,00000410,false,Rx,0,8,11,00,21,0C,00,EB,05,C1,
585500,00000411,false,Rx,0,8,01,FF,FF,00,01,00,00,3D,
585800,00000412,false,Rx,0,8,00,4E,01,4E,01,10,01,00,
586000,00000601,false,Rx,0,8,00,D4,00,36,00,64,00,00,
595300,00000410,false,Rx,0,8,11,00,21,0C,00,EB,05,C1,
595500,00000411,false,Rx,0,8,01,FF,FF,00,01,00,00,3D,
595700,00000412,false,Rx,0,8,00,4E,01,4E,01,10,01,00,
596000,00000600,false,Rx,0,8,00,DA,01,4C,D5,2A,38,00,
596200,00000601,false,Rx,0,8,00,D4,00,36,00,64,00,00,
605200,00000410,false,Rx,0,8,11,00,21,0C,00,EA,05,C1,
605500,00000411,false,Rx,0,8,01,FF,FF,00,01,00,00,3D,
605700,00000412,false,Rx,0,8,00,4F,01,4F,01,10,01,00,
606000,00000601,false,Rx,0,8,00,D4,00,36,00,64,00,00,
615200,00000410,false,Rx,0,8,11,00,21,0C,00,EA,05,C1,
615500,00000411,false,Rx,0,8,01,FF,FF,00,01,00,00,3D,
615700,00000412,false,Rx,0,8,00,4F,01,4F,01,10,01,00,
616000,00000601,false,Rx,0,8,00,D4,00,36,00,64,00,00,
625300,00000410,false,Rx,0,8,11,00,21,0C,00,DD,05,C1,
625500,00000411,false,Rx,0,8,01,31,00,00,01,00,00,3D,
625700,00000412,false,Rx,0,8,00,4F,01,4F,01,10,01,00,
626000,00000601,false,Rx,0,8,00,D4,00,36,00,64,00,00,
635300,00000410,false,Rx,0,8,11,00,21,0C,00,DD,05,C1,
635500,00000411,false,Rx,0,8,01,31,00,00,01,00,00,3D,
635800,00000412,false,Rx,0,8,00,50,01,50,01,10,01,00,
636000,00000601,false,Rx,0,8,00,D4,00,36,00,64,00,00,
645300,00000410,false,Rx,0,8,11,00,21,0C,00,E7,05,C1,
645600,00000411,false,Rx,0,8,01,31,00,00,01,00,00,3D,
645900,00000412,false,Rx,0,8,00,51,01,51,01,10,01,00,
646100,00000600,false,Rx,0,8,00,DE,01,4C,D6,2A,38,00,
646300,00000601,false,Rx,0,8,00,D4,00,36,00,64,00,00,
655400,00000410,false,Rx,0,8,11,00,21,0C,00,E7,05,C1,
655600,00000411,false,Rx,0,8,01,31,00,00,01,00,00,3D,
655800,00000412,false,Rx,0,8,00,51,01,51,01,10,01,00,
656100,00000601,false,Rx,0,8,00,D4,00,36,00,64,00,00,
665400,00000410,false,Rx,0,8,11,00,21,0C,00,DD,05,C1,
665600,00000411,false,Rx,0,8,01,31,00,00,01,00,00,3D,
665900,00000412,false,Rx,0,8,00,50,01,50,01,10,01,00,
666100,00000601,false,Rx,0,8,00,D4,00,35,00,64,00,00,
675300,00000410,false,Rx,0,8,11,00,21,0C,00,DD,05,C1,
675600,00000411,false,Rx,0,8,01,31,00,00,01,00,00,3D,
