Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1336700,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,9B,
1346600,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,AA,
1356700,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,B9,
1366600,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,8C,
1376700,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,9B,
1386600,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,AA,
1396700,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,B9,
1406800,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,8C,
1416700,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,9B,
1426600,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,AA,
1436700,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,B9,
1446600,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,8C,
1456700,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,9B,
1466600,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,AA,
1476700,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,B9,
1486600,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,8C,
1496700,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,9B,
1506600,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,AA,
1516700,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,B9,
1526600,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,8C,
1536700,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,9B,
1546600,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,AA,
1556700,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,B9,
1566500,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,8C,
1576700,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,9B,
1586600,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,AA,
1596800,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,B9,
1606500,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,8C,
1616700,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,9B,
1626500,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,AA,
1636800,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,B9,
1646500,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,8C,
1656700,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,9B,
1666500,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,AA,
1676700,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,B9,
1686500,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,8C,
1696500,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,9B,
1706500,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,AA,
1716700,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,B9,
1726500,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,8C,
1736700,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,9B,
